chrom	signal_region	start_pos	end_pos	SNPSTR_start_pos	SNPSTR_ID	period	repeat_unit	alleles	reference_allele	total_per_allele_dosages	total_hardcall_alleles	total_hardcall_genotypes	subset_total_per_allele_dosages	subset_total_hardcall_alleles	subset_total_hardcall_genotypes	subset_multiallelicness	subset_heterozygosity	subset_entropy	subset_HWEP	subset_allele_dosage_r2	association_p_value	direction_of_association	Δphenotype_per_additional_repeat_unit	Δphenotype_per_s.d._increase_in_repeat_size	FINEMAP_pcausal	SuSiE_pcausal	SuSiE_CS_pcausal	mentioned_in_literature	literature_inclusion_url	included_only_due_to_literature	curated	included_only_due_to_curation	nearby_exons	closest_gene	nearby_genes	relation_to_gene	transcribed
1	1_23622424_23949623	23817932	23817947	23817932	STR_15426	1	A	11.0,13.0,14.0,15.0,16.0,17.0	16.0	"{""11.0"": 0.0, ""13.0"": 42723.92, ""14.0"": 674655.1, ""15.0"": 172981.91, ""16.0"": 81540.37, ""17.0"": 2923.91}"	"{""13.0"": 42653, ""14.0"": 674818, ""15.0"": 173166, ""16.0"": 83352, ""17.0"": 829}"	"{""[13.0, 13.0]"": 974, ""[13.0, 14.0]"": 29161, ""[13.0, 15.0]"": 7847, ""[13.0, 16.0]"": 3677, ""[13.0, 17.0]"": 20, ""[14.0, 14.0]"": 236874, ""[14.0, 15.0]"": 115341, ""[14.0, 16.0]"": 56042, ""[14.0, 17.0]"": 526, ""[15.0, 15.0]"": 16925, ""[15.0, 16.0]"": 15940, ""[15.0, 17.0]"": 188, ""[16.0, 16.0]"": 3806, ""[16.0, 17.0]"": 81, ""[17.0, 17.0]"": 7}"	"{""11.0"": 0.0, ""13.0"": 28459.45, ""14.0"": 468329.22, ""15.0"": 109821.19, ""16.0"": 53105.74, ""17.0"": 1680.69}"	"{""13.0"": 28423, ""14.0"": 468482, ""15.0"": 109802, ""16.0"": 54376, ""17.0"": 309}"	"{""[13.0, 13.0]"": 585, ""[13.0, 14.0]"": 20067, ""[13.0, 15.0]"": 4849, ""[13.0, 16.0]"": 2325, ""[13.0, 17.0]"": 12, ""[14.0, 14.0]"": 166095, ""[14.0, 15.0]"": 77521, ""[14.0, 16.0]"": 38480, ""[14.0, 17.0]"": 224, ""[15.0, 15.0]"": 9123, ""[15.0, 16.0]"": 9135, ""[15.0, 17.0]"": 51, ""[16.0, 16.0]"": 2207, ""[16.0, 17.0]"": 22}"	0.12586384480626586	0.4621047227834782	1.279112348903689	0.6502397769215433	"{""11.0"": ""NaN"", ""13.0"": 1.0, ""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 0.99, ""17.0"": 0.38}"	3.29e-12	-	-0.014103559743082781	-0.013649233678098715	0.186942	NA	NA	False	NA	NA	False	NA	none	6871:upstream:ASAP3:protein_coding	79293:downstream:RP4-654C18.1:processed_pseudogene,57683:downstream:RP1-150O5.3:lncRNA,66470:downstream:ID3:protein_coding,6871:upstream:ASAP3:protein_coding,84979:downstream:RP1-150O5.4:lncRNA,90038:upstream:MDS2:lncRNA,66691:upstream:TCEA3:protein_coding,14983:downstream:E2F2:protein_coding	intergenic	untranscribed
1	1_62708402_63804932	62906683	62906696	62906681	STR_42185	1	A	14.0,15.0,16.0	14.0	"{""14.0"": 623122.1, ""15.0"": 348780.8, ""16.0"": 2915.13}"	"{""14.0"": 623460, ""15.0"": 348662, ""16.0"": 2696}"	"{""[14.0, 14.0]"": 200175, ""[14.0, 15.0]"": 221482, ""[14.0, 16.0]"": 1628, ""[15.0, 15.0]"": 63063, ""[15.0, 16.0]"": 1054, ""[16.0, 16.0]"": 7}"	"{""14.0"": 426348.32, ""15.0"": 233272.21, ""16.0"": 1771.47}"	"{""14.0"": 426595, ""15.0"": 233128, ""16.0"": 1669}"	"{""[14.0, 14.0]"": 137360, ""[14.0, 15.0]"": 150784, ""[14.0, 16.0]"": 1091, ""[15.0, 15.0]"": 40886, ""[15.0, 16.0]"": 572, ""[16.0, 16.0]"": 3}"	0.0026783964728935338	0.4597314370003282	0.9600938763881826	0.1471223645223139	"{""14.0"": 1.0, ""15.0"": 1.0, ""16.0"": 1.0}"	1.1699999999999999e-94	-	-0.059678425053133796	-0.0409316213118731	0.0900125	NA	NA	False	NA	NA	False	NA	975:downstream:62905470:62905708:USP1:protein_coding,975:downstream:62905470:62905708:USP1:protein_coding,975:downstream:62905470:62905708:USP1:protein_coding,975:downstream:62905470:62905708:USP1:protein_coding,463:upstream:62907159:62907251:USP1:protein_coding,463:upstream:62907159:62907279:USP1:protein_coding,463:upstream:62907159:62907279:USP1:protein_coding,463:upstream:62907159:62907279:USP1:protein_coding	0:inside:USP1:protein_coding	89611:upstream:RP11-293K19.1:processed_pseudogene,13273:downstream:DOCK7:protein_coding,0:inside:USP1:protein_coding	intron:USP1:protein_coding	transcribed;USP1-204:protein_coding:3,USP1-203:protein_coding:2,USP1-202:protein_coding:5,USP1-201:protein_coding:1
2	2_17798343_18094345	17960045	17960055	17960045	STR_712139	1	A	10.0,11.0,12.0	11.0	"{""10.0"": 107609.61, ""11.0"": 866033.44, ""12.0"": 1174.96}"	"{""10.0"": 107813, ""11.0"": 865875, ""12.0"": 1130}"	"{""[10.0, 10.0]"": 6729, ""[10.0, 11.0]"": 94182, ""[10.0, 12.0]"": 173, ""[11.0, 11.0]"": 385368, ""[11.0, 12.0]"": 957}"	"{""10.0"": 69594.81, ""11.0"": 591059.67, ""12.0"": 737.52}"	"{""10.0"": 69745, ""11.0"": 590933, ""12.0"": 714}"	"{""[10.0, 10.0]"": 3716, ""[10.0, 11.0]"": 62221, ""[10.0, 12.0]"": 92, ""[11.0, 11.0]"": 264045, ""[11.0, 12.0]"": 622}"	0.0011151026925030844	0.1905925634752504	0.49806524832829	0.6821472126228494	"{""10.0"": 1.0, ""11.0"": 1.0, ""12.0"": 0.97}"	4.98e-08	+	0.024565624925673823	0.010735943908949445	0.0198977	0.0762	0.0201	False	NA	NA	False	NA	715:downstream:17959269:17959330:GEN1:protein_coding,715:downstream:17959269:17959330:GEN1:protein_coding,715:downstream:17959269:17959330:GEN1:protein_coding	0:inside:SMC6:protein_coding	37672:upstream:MSGN1:protein_coding,0:inside:SMC6:protein_coding,0:inside:GEN1:protein_coding,99059:upstream:KCNS3:protein_coding	multigene;intron:SMC6:protein_coding;intron:GEN1:protein_coding	transcribed;SMC6-203:protein_coding:2,SMC6-204:protein_coding:4,GEN1-201:protein_coding:2,GEN1-202:protein_coding:5,GEN1-204:processed_transcript:5
2	2_20739070_21698088	21266752	21266797	21266752	STR_713617	3	AGC	12.33,15.33,17.33	15.33	"{""12.33"": 318040.36, ""15.33"": 656591.53, ""17.33"": 186.13}"	"{""12.33"": 318282, ""15.33"": 656505, ""17.33"": 31}"	"{""[12.33, 12.33]"": 52813, ""[12.33, 15.33]"": 212646, ""[12.33, 17.33]"": 10, ""[15.33, 15.33]"": 221919, ""[15.33, 17.33]"": 21}"	"{""12.33"": 222820.78, ""15.33"": 438465.0, ""17.33"": 106.22}"	"{""12.33"": 223152, ""15.33"": 438226, ""17.33"": 14}"	"{""[12.33, 12.33]"": 37770, ""[12.33, 15.33]"": 147608, ""[12.33, 17.33]"": 4, ""[15.33, 15.33]"": 145304, ""[15.33, 17.33]"": 10}"	0.00016060067252098603	0.4471488971398502	0.9226531341800066	0.3857365511280373	"{""12.33"": 1.0, ""15.33"": 1.0, ""17.33"": 0.34}"	2.14e-181	-	-0.02813484760435628	-0.056436391778247386	0.0	0.683	0.683	False	NA	NA	False	NA	329:upstream:21266385:21266423:APOB:protein_coding,329:upstream:21266385:21266423:APOB:protein_coding,0:inside:21266736:21266945:APOB:protein_coding,0:inside:21266736:21266834:APOB:protein_coding	0:inside:APOB:protein_coding	42963:upstream:RP11-116D2.1:lncRNA,19710:downstream:AC010872.1:TEC,50176:downstream:RP11-83B6.1:lncRNA,0:inside:APOB:protein_coding,80043:upstream:TDRD15:protein_coding	CDS:APOB:protein_coding	transcribed;APOB-202:protein_coding:1,APOB-201:protein_coding:1
2	2_20739070_21698088	21504597	21504642	21504597	STR_713744	2	AC	19.0,20.0,21.0,22.0,23.0,24.0,26.0	23.0	"{""19.0"": 1657.99, ""20.0"": 339272.56, ""21.0"": 105249.29, ""22.0"": 501767.85, ""23.0"": 26803.7, ""24.0"": 0.0, ""26.0"": 182.31}"	"{""19.0"": 1555, ""20.0"": 340590, ""21.0"": 101446, ""22.0"": 507783, ""23.0"": 23433, ""26.0"": 11}"	"{""[19.0, 19.0]"": 31, ""[19.0, 20.0]"": 436, ""[19.0, 21.0]"": 166, ""[19.0, 22.0]"": 770, ""[19.0, 23.0]"": 121, ""[20.0, 20.0]"": 59444, ""[20.0, 21.0]"": 35711, ""[20.0, 22.0]"": 177462, ""[20.0, 23.0]"": 8088, ""[20.0, 26.0]"": 5, ""[21.0, 21.0]"": 5081, ""[21.0, 22.0]"": 52971, ""[21.0, 23.0]"": 2435, ""[21.0, 26.0]"": 1, ""[22.0, 22.0]"": 132176, ""[22.0, 23.0]"": 12223, ""[22.0, 26.0]"": 5, ""[23.0, 23.0]"": 283}"	"{""19.0"": 193.29, ""20.0"": 231849.63, ""21.0"": 71666.86, ""22.0"": 340279.19, ""23.0"": 17352.13, ""24.0"": 0.0, ""26.0"": 128.82}"	"{""19.0"": 145, ""20.0"": 232784, ""21.0"": 69082, ""22.0"": 344176, ""23.0"": 15197, ""26.0"": 8}"	"{""[19.0, 20.0]"": 54, ""[19.0, 21.0]"": 10, ""[19.0, 22.0]"": 77, ""[19.0, 23.0]"": 4, ""[20.0, 20.0]"": 40665, ""[20.0, 21.0]"": 24470, ""[20.0, 22.0]"": 121589, ""[20.0, 23.0]"": 5336, ""[20.0, 26.0]"": 5, ""[21.0, 21.0]"": 3463, ""[21.0, 22.0]"": 36077, ""[21.0, 23.0]"": 1599, ""[22.0, 22.0]"": 89256, ""[22.0, 23.0]"": 7918, ""[22.0, 26.0]"": 3, ""[23.0, 23.0]"": 170}"	0.1350644939379859	0.5938893219840552	1.4889759133048348	0.0083407597141179	"{""19.0"": 0.89, ""20.0"": 0.98, ""21.0"": 0.99, ""22.0"": 0.98, ""23.0"": 0.96, ""24.0"": ""NaN"", ""26.0"": 0.14}"	1.67e-29	-	-0.015643247186757827	-0.021322056956015887	0.654099	NA	NA	False	NA	NA	False	NA	none	0:inside:AC067959.1:lncRNA	82829:upstream:RP11-79J24.1:processed_pseudogene,80522:downstream:NUTF2P8:processed_pseudogene,35890:upstream:AC011752.1:lncRNA,0:inside:AC067959.1:lncRNA	intron:AC067959.1:lncRNA	transcribed;AC067959.1-001:lncRNA:3
2	2_64762288_65113266	64906753	64906763	64906752	STR_739553	1	A	11.0,12.0	11.0	"{""11.0"": 270847.39, ""12.0"": 703970.65}"	"{""11.0"": 266464, ""12.0"": 708354}"	"{""[11.0, 11.0]"": 36769, ""[11.0, 12.0]"": 192926, ""[12.0, 12.0]"": 257714}"	"{""11.0"": 181303.28, ""12.0"": 480088.72}"	"{""11.0"": 178261, ""12.0"": 483131}"	"{""[11.0, 11.0]"": 23889, ""[11.0, 12.0]"": 130483, ""[12.0, 12.0]"": 176324}"	0.0	0.3937616025832586	0.8407807387782062	0.3410595063086777	"{""11.0"": 0.99, ""12.0"": 0.99}"	1.31e-09	+	0.018649451883069545	0.01176483157167833	0.0604023	NA	NA	False	NA	NA	False	NA	none	0:inside:SERTAD2:protein_coding	63063:downstream:LINC02579:lncRNA,32921:downstream:AC007365.3:lncRNA,13555:downstream:RPS10P9:processed_pseudogene,96475:upstream:AC007365.2:miRNA,86614:downstream:AFTPH:protein_coding,0:inside:SERTAD2:protein_coding	intron:SERTAD2:protein_coding	transcribed;SERTAD2-202:processed_transcript:3
2	2_64762288_65113266	64921115	64921126	64921115	STR_739560	1	A	11.0,12.0,13.0,14.0	12.0	"{""11.0"": 998.13, ""12.0"": 289241.09, ""13.0"": 651719.47, ""14.0"": 32859.31}"	"{""11.0"": 864, ""12.0"": 291801, ""13.0"": 653350, ""14.0"": 28803}"	"{""[11.0, 11.0]"": 11, ""[11.0, 12.0]"": 270, ""[11.0, 13.0]"": 564, ""[11.0, 14.0]"": 8, ""[12.0, 12.0]"": 43813, ""[12.0, 13.0]"": 195236, ""[12.0, 14.0]"": 8669, ""[13.0, 13.0]"": 219150, ""[13.0, 14.0]"": 19250, ""[14.0, 14.0]"": 438}"	"{""11.0"": 174.37, ""12.0"": 196602.74, ""13.0"": 441683.75, ""14.0"": 22931.14}"	"{""11.0"": 106, ""12.0"": 198421, ""13.0"": 442661, ""14.0"": 20204}"	"{""[11.0, 12.0]"": 35, ""[11.0, 13.0]"": 69, ""[11.0, 14.0]"": 2, ""[12.0, 12.0]"": 29657, ""[12.0, 13.0]"": 132972, ""[12.0, 14.0]"": 6100, ""[13.0, 13.0]"": 148050, ""[13.0, 14.0]"": 13520, ""[14.0, 14.0]"": 291}"	0.034934668093959405	0.461118776565506	1.0645720595298849	0.4691557362048633	"{""11.0"": 0.9, ""12.0"": 1.0, ""13.0"": 0.98, ""14.0"": 0.9}"	4.3e-10	+	0.016794456558534065	0.012197760315443755	0.188845	NA	NA	False	NA	NA	False	NA	none	0:inside:SERTAD2:protein_coding	77425:downstream:LINC02579:lncRNA,47283:downstream:AC007365.3:lncRNA,27917:downstream:RPS10P9:processed_pseudogene,82112:upstream:AC007365.2:miRNA,0:inside:SERTAD2:protein_coding	intron:SERTAD2:protein_coding	transcribed;SERTAD2-202:processed_transcript:3
2	2_118245901_119044778	118680584	118680595	118680582	STR_766280	1	A	12.0,13.0	12.0	"{""12.0"": 824035.21, ""13.0"": 150782.56}"	"{""12.0"": 824151, ""13.0"": 150667}"	"{""[12.0, 12.0]"": 348451, ""[12.0, 13.0]"": 127249, ""[13.0, 13.0]"": 11709}"	"{""12.0"": 559988.7, ""13.0"": 101403.3}"	"{""12.0"": 560072, ""13.0"": 101320}"	"{""[12.0, 12.0]"": 237131, ""[12.0, 13.0]"": 85810, ""[13.0, 13.0]"": 7755}"	0.0	0.2594484993236587	0.6177711110779716	0.9636110761919714	"{""12.0"": 1.0, ""13.0"": 1.0}"	1.24e-09	+	0.02358848094383359	0.012019093407748888	0.0694372	NA	NA	False	NA	NA	False	NA	none	0:inside:HTR5BP:transcribed_unprocessed_pseudogene	81350:downstream:AC009404.2:lncRNA,11006:downstream:AC009303.3:processed_pseudogene,75726:upstream:RP11-98C1.2:lncRNA,91155:upstream:AC009303.2:TEC,93363:upstream:RN7SL111P:misc_RNA,90631:downstream:DDX18:protein_coding,72378:upstream:AC009303.1:lncRNA,0:inside:HTR5BP:transcribed_unprocessed_pseudogene,0:inside:CCDC93:protein_coding	multigene;intron:HTR5BP:transcribed_unprocessed_pseudogene;intron:CCDC93:protein_coding	transcribed;CCDC93-203:nonsense_mediated_decay:3,HTR5BP-202:processed_transcript:1,CCDC93-201:protein_coding:5,CCDC93-202:protein_coding:1
2	2_202837597_204644031	203556225	203556235	203556224	STR_809929	1	A	10.0,11.0,12.0	11.0	"{""10.0"": 518420.96, ""11.0"": 452943.45, ""12.0"": 3453.56}"	"{""10.0"": 516857, ""11.0"": 454462, ""12.0"": 3499}"	"{""[10.0, 10.0]"": 137965, ""[10.0, 11.0]"": 239778, ""[10.0, 12.0]"": 1149, ""[11.0, 11.0]"": 106454, ""[11.0, 12.0]"": 1776, ""[12.0, 12.0]"": 287}"	"{""10.0"": 352135.26, ""11.0"": 309204.77, ""12.0"": 51.97}"	"{""10.0"": 350976, ""11.0"": 310358, ""12.0"": 58}"	"{""[10.0, 10.0]"": 93476, ""[10.0, 11.0]"": 163999, ""[10.0, 12.0]"": 25, ""[11.0, 11.0]"": 73163, ""[11.0, 12.0]"": 33}"	7.857669884123182e-05	0.4982019102253657	0.9984981345549068	0.0154937200887033	"{""10.0"": 1.0, ""11.0"": 1.0, ""12.0"": 0.88}"	1.47e-22	-	-0.026792980809667633	-0.018911800721973338	0.170412	0.1648	0.1632	False	NA	NA	False	NA	none	0:inside:FAM117B:protein_coding	76798:downstream:MTCO1P17:unprocessed_pseudogene,75973:downstream:MTCO2P17:unprocessed_pseudogene,75062:downstream:MTATP6P17:unprocessed_pseudogene,74290:downstream:MTCO3P17:unprocessed_pseudogene,73875:downstream:MTND3P17:unprocessed_pseudogene,73515:downstream:MTND4LP17:unprocessed_pseudogene,72621:downstream:MTND4P30:unprocessed_pseudogene,71606:upstream:MTCO1P54:processed_pseudogene,82208:downstream:AC098831.4:processed_pseudogene,0:inside:FAM117B:protein_coding,81638:downstream:ICA1L:protein_coding	intron:FAM117B:protein_coding	transcribed;FAM117B-201:protein_coding:1,FAM117B-202:retained_intron:1
3	3_11915065_12917778	12511365	12511403	12511360	STR_918468	1	A	36.0,37.0,38.0,39.0	39.0	"{""36.0"": 190235.16, ""37.0"": 81603.83, ""38.0"": 280229.32, ""39.0"": 422783.74}"	"{""36.0"": 189739, ""37.0"": 80788, ""38.0"": 280331, ""39.0"": 423960}"	"{""[36.0, 36.0]"": 18994, ""[36.0, 37.0]"": 16326, ""[36.0, 38.0]"": 54600, ""[36.0, 39.0]"": 80825, ""[37.0, 37.0]"": 3726, ""[37.0, 38.0]"": 23668, ""[37.0, 39.0]"": 33342, ""[38.0, 38.0]"": 40697, ""[38.0, 39.0]"": 120669, ""[39.0, 39.0]"": 94562}"	"{""36.0"": 129062.44, ""37.0"": 53253.65, ""38.0"": 193517.46, ""39.0"": 285580.32}"	"{""36.0"": 128597, ""37.0"": 52720, ""38.0"": 193673, ""39.0"": 286402}"	"{""[36.0, 36.0]"": 12618, ""[36.0, 37.0]"": 10238, ""[36.0, 38.0]"": 37373, ""[36.0, 39.0]"": 55750, ""[37.0, 37.0]"": 2033, ""[37.0, 38.0]"": 15576, ""[37.0, 39.0]"": 22840, ""[38.0, 38.0]"": 28425, ""[38.0, 39.0]"": 83874, ""[39.0, 39.0]"": 61969}"	0.27564600361344105	0.682580191834826	1.7919708082508818	0.7778990721211316	"{""36.0"": 0.99, ""37.0"": 0.98, ""38.0"": 0.99, ""39.0"": 1.0}"	9.11e-12	+	0.008171375127076885	0.013131735681146117	0.149124	NA	NA	False	NA	NA	False	NA	none	14517:upstream:TSEN2:protein_coding	31719:downstream:RNU6-404P:snRNA,41191:downstream:RNA5SP123:rRNA_pseudogene,44802:upstream:RNU6-377P:snRNA,87153:upstream:MKRN2:protein_coding,35510:downstream:PPARG:protein_coding,14517:upstream:TSEN2:protein_coding,45030:downstream:MKRN2OS:protein_coding	intergenic	untranscribed
